Class_Index,disease_Class_Name,Disease_Description,Treatment_Recommendations,Bio_Pesticides_Fertilizers
10,Corn_(maize)___healthy,No disease symptoms present. Leaves are healthy green color with normal growth and ear development.,"PREVENTIVE: Balanced fertilization, proper plant density (75,000 plants/ha), adequate water management, crop rotation with non-host crops for 2-3 years.",BIO-FERTILIZER: Rhizobium 250g/acre (for legumes) OR Azotobacter 500g/acre + PSB (Phosphate Solubilizing Bacteria) 250g/acre. ORGANIC: FYM 5-8 tons/acre + Vermicompost 2-3 tons/acre.
11,Grape___Black_rot,"Fungal disease causing small, circular, brown to black spots on leaves and berries. Infected berries shrivel into hard, black mummies. Causes significant yield losses in wet conditions.","FUNGICIDE: Mancozeb 75% WP at 3-4 pounds/acre OR Myclobutanil 40% WSP at 4-5oz/acre OR Ziram 76% DF at 4 pounds/acre. Start at 3-5 inch shoot growth, repeat every 10-14 days through post-bloom.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
12,Grape___Esca_(Black_Measles),"Complex fungal disease (esca complex) causing interveinal chlorosis, necrosis, and ""tiger stripe"" patterns on leaves. Berries may show dark spots and shrivel.","FUNGICIDE: Combine systemic and protectant fungicides - Tebuconazole + Mancozeb. No single fungicide provides complete control. CULTURAL: Improve air circulation, reduce stress factors.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Fungal disease causing angular, brown lesions between leaf veins. Lesions may have yellow halos. Can cause defoliation and reduced vine vigor in severe cases.",FUNGICIDE: Copper oxychloride 50% WP at 500-750g/acre OR Mancozeb 75% WP at 600g/acre. Apply every 10-14 days during favorable conditions. CULTURAL: Improve vineyard ventilation.,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
14,Grape___healthy,No disease symptoms present. Leaves show healthy green coloration with normal growth and fruit development.,"PREVENTIVE: Balanced nutrition, proper pruning, disease monitoring, avoid overhead irrigation, maintain optimal soil moisture and pH levels.",BIO-FERTILIZER: Mycorrhizal fungi (Glomus intraradices) 50g/tree + Azotobacter chroococcum 25g/tree. ORGANIC: Vermicompost 5-10kg/tree + Neem cake 2kg/tree. GROWTH ENHANCER: Seaweed extract 2ml/liter spray monthly.
15,Orange___Haunglongbing_(Citrus_greening),"Bacterial disease (transmitted by Asian citrus psyllid) causing asymmetrical leaf yellowing, stunted growth, small bitter fruit, and eventual tree death.",TREATMENT: No cure available. Remove infected trees immediately. CONTROL VECTOR: Imidacloprid 17.8% SL at 3-5ml/tree for psyllid control. PREVENTIVE: Use certified disease-free nursery stock.,BIO-BACTERICIDE: Pseudomonas fluorescens 10g/liter + Bacillus pumilus 5g/liter spray every 5-7 days. ORGANIC: Copper sulfate + Lime (Bordeaux mixture) 1% spray. SOIL: Beneficial bacteria consortium 500g/acre + Organic matter 2-3 tons/acre.
16,Peach___Bacterial_spot,"Bacterial disease causing small, dark, water-soaked spots on leaves, fruit, and twigs. Spots may have yellow halos. Severe infections cause defoliation and fruit cracking.",BACTERICIDE: Streptomycin sulfate 17% + Tetracycline 3% at 200-300g/acre OR Copper oxychloride 50% WP at 500-750g/acre. Apply every 7-10 days during favorable conditions. CULTURAL: Prune for air circulation.,BIO-BACTERICIDE: Pseudomonas fluorescens 10g/liter + Bacillus pumilus 5g/liter spray every 5-7 days. ORGANIC: Copper sulfate + Lime (Bordeaux mixture) 1% spray. SOIL: Beneficial bacteria consortium 500g/acre + Organic matter 2-3 tons/acre.
17,Peach___healthy,No disease symptoms present. Leaves and fruit show healthy development with normal coloration.,"PREVENTIVE: Proper nutrition (balanced NPK fertilization), adequate spacing, avoid overhead irrigation, regular pruning for air circulation and light penetration.",BIO-FERTILIZER: Mycorrhizal fungi (Glomus intraradices) 50g/tree + Azotobacter chroococcum 25g/tree. ORGANIC: Vermicompost 5-10kg/tree + Neem cake 2kg/tree. GROWTH ENHANCER: Seaweed extract 2ml/liter spray monthly.
18,"Pepper,_bell___Bacterial_spot","Bacterial disease causing small, dark, raised spots on leaves and fruit. Spots may have yellow halos. Causes fruit blemishing and plant defoliation.","BACTERICIDE: Copper oxychloride 50% WP at 500-750g/acre OR Streptomycin sulfate 200ppm. Apply weekly during favorable conditions. CULTURAL: Avoid overhead irrigation, improve plant spacing.",BIO-BACTERICIDE: Pseudomonas fluorescens 10g/liter + Bacillus pumilus 5g/liter spray every 5-7 days. ORGANIC: Copper sulfate + Lime (Bordeaux mixture) 1% spray. SOIL: Beneficial bacteria consortium 500g/acre + Organic matter 2-3 tons/acre.
19,"Pepper,_bell___healthy",No disease symptoms present. Leaves are green and healthy with normal fruit development.,"PREVENTIVE: Crop rotation, balanced fertilization, proper plant spacing, avoid overhead watering, select resistant varieties when available.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
20,Potato___Early_blight,"Fungal disease causing brown to black lesions with concentric rings on lower, older leaves. Lesions may have yellow halos. Can cause significant defoliation.",FUNGICIDE: Mancozeb 75% WP at 600-800g/acre OR Chlorothalonil 75% WP at 400-500g/acre OR Azoxystrobin 23% SC at 250ml/acre. Apply every 7-10 days starting at disease onset.,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
21,Potato___Late_blight,"Oomycete disease causing dark, water-soaked lesions on leaves, stems, and tubers. White fuzzy growth may appear on lesion undersides in humid conditions. Highly destructive.",FUNGICIDE: Mancozeb 75% WP at 500-700g/acre OR Cymoxanil 8% + Mancozeb 64% at 500g/acre OR Dimethomorph + Mancozeb at 750g/acre. Apply every 7-10 days during favorable conditions.,BIO-FUNGICIDE: Trichoderma viride 5g/liter + Bacillus subtilis 3g/liter spray every 5-7 days. ORGANIC: Copper hydroxide 2g/liter + Neem oil 3ml/liter. SOIL: Trichoderma-enriched compost 5 tons/acre.
22,Potato___healthy,No disease symptoms present. Leaves are healthy green with normal tuber development.,"PREVENTIVE: Plant certified seed potatoes, proper hill formation, balanced fertilization, avoid excessive nitrogen, proper irrigation management.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
23,Raspberry___healthy,No disease symptoms present. Canes and leaves show healthy red coloration with normal berry development.,"PREVENTIVE: Proper cane management, balanced fertilization, adequate air circulation, winter protection, regular pest monitoring.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
24,Soybean___healthy,No disease symptoms present. Leaves are healthy green with normal pod development.,"PREVENTIVE: Proper plant density, balanced nutrition (avoid excessive nitrogen), crop rotation, weed management, regular field monitoring.",BIO-FERTILIZER: Rhizobium 250g/acre (for legumes) OR Azotobacter 500g/acre + PSB (Phosphate Solubilizing Bacteria) 250g/acre. ORGANIC: FYM 5-8 tons/acre + Vermicompost 2-3 tons/acre.
25,Squash___Powdery_mildew,"Fungal disease causing white powdery growth on leaves, stems, and fruit. Infected tissues may become distorted and yellowed. Reduces fruit quality and plant vigor.",FUNGICIDE: Sulfur 80% WP at 2-3kg/acre OR Potassium bicarbonate 0.5% spray OR Neem oil 2-3ml/liter. Apply at first symptoms and repeat every 7-14 days. CULTURAL: Improve air circulation.,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
26,Strawberry___Leaf_scorch,"Fungal disease causing small, dark purple spots on upper leaf surfaces that give leaves a scorched appearance. Infected leaves may turn brown and curl at margins.","FUNGICIDE: Copper oxychloride 50% WP at 500g/acre OR Thiophanate methyl 70% WP at 100g/acre. Apply every 10-14 days. CULTURAL: Improve air circulation, avoid overhead watering.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
27,Strawberry___healthy,No disease symptoms present. Leaves are green and healthy with normal runner and fruit development.,"PREVENTIVE: Plant certified disease-free plants, proper spacing for air circulation, balanced nutrition, drip irrigation instead of overhead watering.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
28,Tomato___Bacterial_spot,"Bacterial disease causing small, dark, greasy-appearing spots on leaves and fruit. Spots may have yellow halos. Causes fruit unmarketability and defoliation.",BACTERICIDE: Copper oxychloride 50% WP at 500-750g/acre OR Streptomycin sulfate 200ppm + Copper sulfate 0.5%. Apply weekly starting early season. CULTURAL: Avoid overhead irrigation.,BIO-BACTERICIDE: Pseudomonas fluorescens 10g/liter + Bacillus pumilus 5g/liter spray every 5-7 days. ORGANIC: Copper sulfate + Lime (Bordeaux mixture) 1% spray. SOIL: Beneficial bacteria consortium 500g/acre + Organic matter 2-3 tons/acre.
29,Tomato___Early_blight,"Fungal disease causing brown lesions with concentric rings (target spot pattern) starting on lower, older leaves. Yellow halos may surround lesions.","FUNGICIDE: Chlorothalonil 75% WP at 400-500g/acre OR Mancozeb 75% WP at 600g/acre OR Azoxystrobin 23% SC at 250ml/acre. Start early season, apply every 10-14 days.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
30,Tomato___Late_blight,"Oomycete disease causing dark, water-soaked lesions that rapidly expand under humid conditions. White fuzzy growth on lesion undersides. Highly destructive.",FUNGICIDE: Mancozeb 75% WP at 500-700g/acre OR Cymoxanil 8% + Mancozeb 64% WP at 500g/acre. Apply every 7-10 days during humid conditions. CULTURAL: Improve greenhouse ventilation.,BIO-FUNGICIDE: Trichoderma viride 5g/liter + Bacillus subtilis 3g/liter spray every 5-7 days. ORGANIC: Copper hydroxide 2g/liter + Neem oil 3ml/liter. SOIL: Trichoderma-enriched compost 5 tons/acre.
31,Tomato___Leaf_Mold,Fungal disease causing yellow spots on upper leaf surface with olive-green to brown fuzzy growth on undersides. Thrives in high humidity greenhouse conditions.,"FUNGICIDE: Azoxystrobin 23% SC at 250ml/acre OR Difenoconazole 25% EC at 100-150ml/acre. Apply in high humidity environments. CULTURAL: Reduce humidity, improve air circulation.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
32,Tomato___Septoria_leaf_spot,"Fungal disease causing small, circular spots with dark centers and yellow halos on leaves. Severe infections cause defoliation and reduced fruit yield.","FUNGICIDE: Chlorothalonil 75% WP at 400-500g/acre OR Mancozeb 75% WP at 600g/acre. Apply every 10-14 days during wet periods. CULTURAL: Avoid overhead watering, improve drainage.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
33,Tomato___Spider_mites Two-spotted_spider_mite,"Arthropod pest causing yellow stippling on leaves from feeding damage. Severe infestations cause bronzing, webbing, and leaf drop. Not a disease but important pest.",MITICIDE: Abamectin 1.8% EC at 400-500ml/acre OR Spiromesifen 22.9% SC at 400ml/acre OR Propargite 57% EC at 1-2ml/liter. Apply when threshold is reached (5 mites/leaflet).,BIO-PESTICIDE: Bacillus thuringiensis 2g/liter + Beauveria bassiana 5g/liter spray. ORGANIC: Neem oil 5ml/liter + Garlic-Chili extract 10ml/liter. PREDATORS: Release predatory mites (Phytoseiulus persimilis) 2-5 per plant.
34,Tomato___Target_Spot,Fungal disease causing brown lesions with distinct concentric rings (target pattern) on leaves and fruit. Can cause significant defoliation and yield loss.,FUNGICIDE: Azoxystrobin 23% SC at 250ml/acre OR Pyraclostrobin 25% EC at 200ml/acre OR Chlorothalonil 75% WP at 400-500g/acre. Apply every 10-14 days during favorable conditions.,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Viral disease causing upward leaf curling, yellowing, and stunted growth. Transmitted by whiteflies. Severely reduces fruit production.","TREATMENT: No chemical cure available. VECTOR CONTROL: Imidacloprid 17.8% SL at 0.5ml/liter for whitefly control. PREVENTION: Use resistant varieties, remove infected plants, control whiteflies.",BIO-ENHANCER: Chitosan 2g/liter + Salicylic acid 100ppm to boost plant immunity. VECTOR CONTROL: Neem oil 5ml/liter for insect vectors. NUTRITION: Bio-stimulants (seaweed + amino acids) 3ml/liter to strengthen plant defense.
36,Tomato___Tomato_mosaic_virus,"Viral disease causing mosaic patterns, leaf distortion, and plant stunting. No cure available. Spread through mechanical contact, tools, and handling.","TREATMENT: No chemical cure available. Remove infected plants immediately. PREVENTION: Use resistant varieties, disinfect tools with 10% bleach solution, avoid mechanical transmission during handling.",BIO-ENHANCER: Chitosan 2g/liter + Salicylic acid 100ppm to boost plant immunity. VECTOR CONTROL: Neem oil 5ml/liter for insect vectors. NUTRITION: Bio-stimulants (seaweed + amino acids) 3ml/liter to strengthen plant defense.
37,Tomato___healthy,No disease symptoms present. Plants show healthy green foliage with normal fruit development.,"PREVENTIVE: Balanced fertilization, proper plant spacing, crop rotation, avoid over-watering, select resistant varieties, regular monitoring for pest and disease symptoms.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
